,name,location,date,content
0,Bella,US,35 minutes ago,Very easy to use. Thank you
1,Customer,US,3 hours ago,Customer reps are very helpful. Dealt with Matthew and he’s excellent. I like the system that prior inquiries are recorded that you don’t have to repeat yourself. So you continue where you left off even if it’s a different person. I’m grateful if all your help.
2,Customer,US,13 hours ago,I was able to find what I wanted by very quickly speaking to an agent who was very thorough. I was so happy it wasn't just one link after another - just one....and to talk to a real person was amazing! THANKS MATTHEW
3,Geraldine,US,14 hours ago,"As of now, I am extremely happy with the call back as promised at the time promised and the agent was so accommodating and pleasant.  I can only hope if our travel plans happen to change that we get the same consideration."
4,Customer,US,14 hours ago,thank you for your service
5,Sonia  Charles ,US,Updated 3 hours ago,"Kayla was a very efficient, pleasant and knowledgeable agent.  We shared many laughs while at the same getting the best policy at a very favorable rate for our pending cruise.  It was an extremely satisfying experience and I would not uhesitate to highly recommend your organization. Thank you Kayla for being so patient and understanding of our requests."
6,Joseph Epstein,US,15 hours ago,Got answers to all our questions promptly.  Got documents via email right away.
7,Harry T. Townsend,US,16 hours ago,Denise was very Professional and helpful in answering all of our questions.So Was Ana when she talked to  my wife on the phone and in the email she sent me.
8,Customerlrw,US,16 hours ago,Great overall experience.  Very pleased with pricing.
9,Customer,US,16 hours ago,"I have two commendations: The first is for the very informative website comparing travel insurance companies and plans.I read the website background information and formulated my questions.The second commendation is for the agent who assisted me twice over the phone and gave easy to understand explanations and thorough answers to my questions.I also appreciate the ease in reaching an agent with whom I could speak.  I find ""Chats"" to be frustrating, and I value a real time conversation with someone knowledgeable, courteous and patient as was this agent."
10,E Williams,US,16 hours ago,"Simple, easy, fast!  And best deal around!"
11,Sara M.,US,17 hours ago,"Attentive listeners, answered all my questions.  A bit more than I wanted to spend but I take AARP's advice willingly.  Hopefully we won't have to make a claim."
12,Mike,US,17 hours ago,"I chatted with Israel and found this person to be very helpful. Overall it was an easy experience over a slightly complicated matter, at least to me. Israel made it easy to sort out."
13,Customer,US,18 hours ago,Easy to update the amount of insurance I needed.
14,Elizabeth Ford,US,18 hours ago,"Aardy was able to answer my questions and be very, very helpful.  I didn't have to wait on hold or go through voice prompts. It was refreshing to have help and customer service that easy."
15,Dave P,US,19 hours ago,Purchase insuranceChecked out policies on line.  Chatted with Ryan W and then called Stacey to purchase a policy for our upcoming trip.Both were helpful and answered all my questions.
16,Customer,US,19 hours ago,N/A
17,Michelle,US,19 hours ago,Easy to book medical emergency only travel insurance. Excellent price with good provider.
18,Anita,US,19 hours ago,Nicole and Matthew were extremely helpful. Great plans and great customer service!!
19,Danny Green,US,19 hours ago,great website  easy to use good option great prices
20,Customer,US,20 hours ago,"I spoke with Brandon and Denise, more than several times.  Both Brandon and Denise were very kind, easy to talk to, and very helpful.  So many times when you talk to any customer service rep with other companies, the reps speak way to fast and are hard to understand.  I changed my mind on what coverage I wanted more than several times, and Brandon was very understanding and helpful.  Thanks all for your help in finding us insurance for our upcoming trip!"
21,Gaydon Phillips ,US,20 hours ago,Very helpful operator. Tot me sorted out quickly and efficiently
22,Bobbie L. Pilkington,US,21 hours ago,"I was very pleased with my experience with Darren, he was very polite, he answered all my questions and help with the insurance I needed, he was the BEST, sure hope he will be there when I call again because I will sure will ask for him."
